Ignore,,,,,,,,,,,,
Germany,Germany,,,,,,,,,,,
RestofEurope,Austria,Switzerland,Sweden,Poland,Slovakia,Norway,Ireland,Finland,Hungary,Russia,Ukraine,Czech Republic
Balkan,Croatia,Serbia,Bosnia-Herzegovina,Slovenia,Greece,Montenegro,Albania,Kosovo,Romania,,,
America,Uruguay,Colombia,Mexico,United States,Costa Rica,Chile,Canada,Venezuela,,,,
Argentina,Argentina,,,,,,,,,,,
UK,England,Scotland,Wales,,,,,,,,,
Brazil,Brazil,,,,,,,,,,,
Spain,Spain,,,,,,,,,,,
Netherlands&Belgium,Netherlands,Belgium,,,,,,,,,,
Italy&Portugal,Italy,Portugal,,,,,,,,,,
Asia&Africa,Senegal,Turkey,Morocco,Nigeria,Cote d'Ivoire,South Korea,Algeria,Armenia,Japan,Cameroon,,
France,France,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ROTW,Club Atlético Independiente,PSV Eindhoven,Watford FC,Brescia Calcio,Norwich City,Club Estudiantes de La Plata,SL Benfica,Istanbul Basaksehir FK,FC Porto,CSKA Moscow,Ajax Amsterdam,AZ Alkmaar
NorthernEngland,Newcastle United,Manchester City,Burnley FC,Leeds United,,,,,,,,
MidEngland,Manchester United,Leicester City,Wolverhampton Wanderers,Liverpool FC,West Bromwich Albion,Aston Villa,Sheffield United,Everton FC,,,,
SouthEngland,Arsenal FC,West Ham United,Southampton FC,Crystal Palace,Fulham FC,Chelsea FC,Brighton & Hove Albion,Tottenham Hotspur,,,,
WestSpain,Sevilla FC,Real Madrid,Atlético Madrid,Getafe CF,Real Betis Balompié,,,,,,,
EastSpain,FC Barcelona,Real Sociedad,Athletic Bilbao,Villarreal CF,Valencia CF,,,,,,,
Lumbardy,Inter Milan,AC Milan,Atalanta BC,,,,,,,,,
SItaly,SSC Napoli,SS Lazio,ACF Fiorentina,AS Roma,Cagliari Calcio,,,,,,,
NItaly,Juventus FC,Parma Calcio 1913,Udinese Calcio,Genoa CFC,Bologna FC 1909,Torino FC,US Sassuolo,,,,,
NGERMANY,Borussia Dortmund,Hertha BSC,RB Leipzig,FC Schalke 04,1.FC Union Berlin,SV Werder Bremen,VfL Wolfsburg,1.FSV Mainz 05,,,,
SGERMANY,Borussia Mönchengladbach,1.FSV Mainz 05,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,SC Freiburg,Bayern Munich,Eintracht Frankfurt,,,,,
Ligue1,Ligue 1,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
France,,,,,,,,,,,,
